doc_id,source,sentence,has_smell,smell_codes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"하자보수 및 유지보수 계획, 조직, 절차, 범위 및 기간과 이와 관련된 기타의 활동 등을 종합적으로 제시하여야 한다.",1,"S3, S5, S8, S18",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,원활한 시스템 운영을 위해 유지보수 요원에 대한 기술이전계획을 분야별로 상세하게 제시하여야 한다.,1,"S3, S10, S18",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"단, 산출물로 제시할 수 없는 원천기술부문이 있는 경우 이를 제안서상에 명시하여야 한다.",1,"S5, S18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,제안설명회 개최 ❍ 제안설명회 일시 - 입찰 마감 후 공지 ❍ 유의사항 - 제안 설명은 제안사(주사업자)의 실무책임자(PM)가 직접 발표해야함.(행정안전부 정보시스템 구축·운영 지침 제20조) - 발표내용이 제안서와 상이한 사항이 있는 경우 이를 별도로 명기하여야 함 Ⅶ.,1,"S1, S18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"(인) 국가보훈처장 귀하 [붙임 1-7호 서식] 제안요청 대비 제안서 주요 핵심내용 ◎ 작성요령 : 제안사는 이하 서식을 제안서 작성 시 반드시 포함하여 제출하여야 함 - 제안사는 본 제안요청서의 기술성평가기준 평가부문 대비 주요핵심내용, 제안내용, 관련 페이지를 작성하여 제안서 요약서 앞에 제시하여야 함. - 각 항목 당 50자 이내 서술 제안사 작성 평가부문 주요 핵심 내용 제안내용 제안서 페이지",1,"S1, S18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[근로복지공단]2013년 통합의료정보시스템 제1차 확대구축 사업,HWP 요구사항후보,"다만, Migration 시기를 고려하여 해당부분 테스트를 별도로 할 수 있음 -본 사업과 분리 발주되는 장비, 소프트웨어 등의 공급자와 적극적인 협조를 통하여 역할을 분담하고 테스트를 수행하여야 함.",1,"S3, S5, S8, S18",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[근로복지공단]2013년 통합의료정보시스템 제1차 확대구축 사업,HWP 요구사항후보,"다만, 제3호의 규정에 해당하는 경우에는 다른 구성원이 반드시 탈퇴조치를 하여야 한다.",1,"S1, S2, S5, S18",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[근로복지공단]2013년 통합의료정보시스템 제1차 확대구축 사업,HWP 요구사항후보,"다만, 잔존구성원만으로 면허, 실적, 시공능력공시액 등 잔여계약이행에 필요한 요건을 갖추지 못할 경우에는 연대보증인과 연대하여 당해계약을 이행하여야 하며, 연대보증인이 없거나 연대보증인이 계약을 이행하지 않는 경우에는 잔존구성원이 발주기관의 승인을 얻어 새로운 구성원을 추가하는 등의 방법으로 당해요건을 충족하여야 한다. ③제2항 본문의 경우 출자비율은 탈퇴자의 출자비율을 잔존구성원의 출자비율에 따라 분할하여 제9조의 비율에 가산한다. ④탈퇴하는 자의 출자금은 계약이행 완료후 제10조의 손실을 공제한 잔액을 반환한다.",1,"S3, S8, S19",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[근로복지공단]2013년 통합의료정보시스템 제1차 확대구축 사업,HWP 요구사항후보,보안 분야 구 분 항 목 적용계획/결과 부분적용/미적용시 사유 및 대체기술 적용 부분적용 미 적용 해당없음 기본 지침 o 정보시스템의 보안을 위하여 위험분석을 통한 보안 계획을 수립하고 이를 적용하여야 한다.,1,"S5, S6, S18",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,"비교․검색에 대한 결과는 ‘동일인(또는 타인)판단’, ‘유사자 적발’, ‘신분변경 사실 인지’ 등으로 구분하여 관리될 수 있도록 기능 개발(구분항목은 약호코드로 관리하여 통계 산출이 가능하여야 함)",1,"S2, S5, S18",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
