doc_id,sentence
[조달청]홈페이지_5.인터페이스요약,[SIR-033] 네비게이션 기능
[조달청]홈페이지_5.인터페이스요약,[SIR-034] 메인화면 구성
[조달청]홈페이지_5.인터페이스요약,[SIR-035] Cross Browser
[조달청]홈페이지_5.인터페이스요약,[SIR-036] 스크린 사이즈
[조달청]홈페이지_5.인터페이스요약,[SIR-037] 필수/선택 입력 항목 표시
[조달청]홈페이지_5.인터페이스요약,[SIR-038] 일정입력 방식
[조달청]홈페이지_5.인터페이스요약,[SIR-039] 대상 일괄 선택
[조달청]홈페이지_5.인터페이스요약,[SIR-040] 확인 및 에러 메시지 제공
[조달청]홈페이지_6.데이터요약,[DAR-001] 데이터베이스 재설계
[조달청]홈페이지_6.데이터요약,[DAR-002] 데이터 타입
[조달청]홈페이지_6.데이터요약,[DAR-003] 데이터 정합성 검증
[조달청]홈페이지_6.데이터요약,[DAR-004] 코드 체계
[조달청]홈페이지_6.데이터요약,[DAR-005] 초기데이터 구축 및 자료이관
[조달청]홈페이지_6.데이터요약,[DAR-006] 기초 데이터 업로드
[조달청]홈페이지_7.테스트요약,[TER-001] 시험 방안 수립
[조달청]홈페이지_8.보안요약,[SER-001] 세션 관리
[조달청]홈페이지_8.보안요약,[SER-002] 관리자 접근제어
[조달청]홈페이지_8.보안요약,[SER-003] 로그인 정책 및 인증방식
[조달청]홈페이지_8.보안요약,[SER-004] 사용자 계정 및 권한 관리
[조달청]홈페이지_8.보안요약,[SER-005] DB 및 APP 서버 접근제한
[조달청]홈페이지_8.보안요약,[SER-006] 개인정보 노출방지 등 개인정보보호 강화
[조달청]홈페이지_8.보안요약,[SER-007] 정보시스템 보안 요건
[조달청]홈페이지_8.보안요약,[SER-008] 조달청 누출금지 정보 관리
[조달청]홈페이지_8.보안요약,[SER-009] 데이터 암호화
[조달청]홈페이지_8.보안요약,[SER-010] 링크 보안
[조달청]홈페이지_8.보안요약,[SER-011] 응용프로그램 보안 코딩 및 웹 보안 취약점 제거
[조달청]홈페이지_9.품질요약,[QUR-002] 결함 관리
[조달청]홈페이지_9.품질요약,[QUR-003] 시스템 백업
[조달청]홈페이지_9.품질요약,[QUR-006] 사용 용이성
